name,code
건설,20
고적,40
고유,50
공업,60
광업,70
교육,80
교통,90
군사,100
기계,110
기독교,120
논리,130
농업,140
사회,220
수학,240
수산,250
수공,260
식물,270
심리,280
약학,290
언론,300
언어,310
연영,330
예술,340
음악,360
전기,390
지리,420
프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠,PSK
책명,440
천문,450
철학,460
출판,470
의약품,MDC
컴퓨터,490
항공,510
해양,520
동물,190
국내 관광지/축제,KMS
국내 방송 프로그램,KTV
대한민국 공공기관,KPI
대한민국 학교,EDU
모바일 애플리케이션,APP
뮤지컬/연극,MNP
영화,MOV
웹툰,KWT
유명인,YMI
자동차,CAR
직업,OCP
한국 교통시설,TFK
한국 라디오 프로그램,RDO
한국사 사건사고,KHA
보드게임,BDG
끄투코리아,KKT
동물의 숲,MDS
마인크래프트,MCT
발로란트,VAL
브롤스타즈,BRS
시드 마이어의 문명,SMC
엘소드,ELW
오버워치,OVW
카트라이더,KAR
클래시 로얄/클래시 오브 클랜,CRY
하스스톤,HSS
히어로즈 오브 더 스톰,HOS
도라에몽,DRM
라이트 노벨,JLN
만화/애니메이션,JAN
동방 프로젝트,JTP
디지몬,DGM
포켓몬스터,POK
가톨릭,10
스타크래프트,STA
붕괴: 스타레일,HSR
체육,350
이터널 리턴,ETR
국가문화유산,NCA
문학,150
쿠키런,CKR
종교,410
간식,FOD
한의학,500
생물,230
기업/브랜드,KGU
통신,480
법률,200
유희왕,YGO
물리,160
한국 행정구역,KPN
원신,GEN
유네스코 유산,UHS
블루 아카이브,BLA
한국 대중음악,KPS
인명,380
의학,370
경제,30
비디오 게임,VDG
소설/시/희곡,NVL
정치,400
지명,430
냥코대전쟁,NKD
리그 오브 레전드,LOL
불교,210
요리/음식,CFD
슈퍼 마리오,SPM
역사,320
미술,170
성어,GSS
모두의마블,MDM
넷플릭스,NFX
주제없음,0
메이플스토리,MAP
젤다의 전설,ZEL
화학,530
민속,180
